status,p_value,morans_test_statistic,morans_I,gene_short_name,q_value
OK,0,53.529144281053796,0.25974889408638413,CPED1,0
OK,0,53.527194081935896,0.2596881784498949,AEBP1,0
OK,0,53.9276871026152,0.259072451659946,NCKAP1L,0
OK,0,53.54394927300198,0.25877862677315383,CD74,0
OK,0,53.3181873018888,0.2569671116787064,SAMSN1,0
OK,0,52.94518793669688,0.2568864013998274,MTHFD1L,0
OK,0,52.8476934904517,0.2564261651189675,JUNB,0
OK,0,53.433507502022316,0.25518990422365395,CLEC7A,0
OK,0,52.56548155137498,0.25506220064502455,C1RL,0
OK,0,52.748209336529335,0.2539694749574988,CLDN5,0
OK,0,52.29579965764336,0.25375652979875374,CTDSPL,0
OK,0,52.28836993320421,0.2537096223936231,AL137139.2,0
OK,0,52.13603860983818,0.25297970886979526,TRPC4,0
OK,0,52.10963513731836,0.25284004431518264,IGFBP2,0
OK,0,52.12427391810145,0.25283119469236637,FLT1,0
OK,0,52.08698090384126,0.2527454440488718,GAPDH,0
OK,0,52.0572336977718,0.25259021268508536,PAG1,0
OK,0,52.02110887433036,0.25240990554164494,GNG11,0
OK,0,51.8605866722555,0.2516460176784494,RPLP1,0
OK,0,51.84220478204686,0.25131122738195666,MFAP4,0
OK,0,52.386773393307344,0.2508053537592102,BIN2,0
OK,0,51.72636245857718,0.25047628867750543,STC1,0
OK,0,51.61396321230381,0.25041344529874787,DDIT4,0
OK,0,51.70616812841382,0.25001779153512993,ELOVL7,0
OK,0,51.39751247685852,0.24933778029036002,SH3PXD2B,0
OK,0,51.2235165834597,0.2485379556081165,TBC1D16,0
OK,0,51.019933557684865,0.2474669477738038,TWIST2,0
OK,0,51.55933122673023,0.24734051359967163,TYROBP,0
OK,0,50.90043675868938,0.24696910074376743,TBX3,0
OK,0,50.88744668720579,0.24691257355116913,CD63,0
OK,0,50.51790505015799,0.24510159345019128,CEBPD,0
OK,0,50.50665106056477,0.24504290531836245,FAM13C,0
OK,0,50.42456591936934,0.24458701152791865,ALDH1A1,0
OK,0,50.33973866584238,0.24421736950490333,APOD,0
OK,0,50.34277700206807,0.244192504103407,SVEP1,0
OK,0,50.73881903473284,0.24403196369938546,TMEM156,0
OK,0,50.2918609455821,0.24391871719625383,AC093772.1,0
OK,0,50.19796523798039,0.2435702431086899,CD81,0
OK,0,50.18817970292182,0.24332291050318333,SLC1A3,0
OK,0,50.23156660401576,0.2428896835395908,RHBDF2,0
OK,0,50.14074503474161,0.2426092822423811,ATP8B4,0
OK,0,50.65991919485947,0.24239376111254077,ITGAX,0
OK,0,49.94746681088998,0.24235353558637934,ANTXR2,0
OK,0,49.88532357015919,0.24188976137528495,GPR4,0
OK,0,50.113735241689284,0.2412197340551045,BLNK,0
OK,0,49.70288495474987,0.24105681374999313,MAMDC2,0
OK,0,49.671657739961766,0.2410079102605732,MYL9,0
OK,0,50.6916870569743,0.24097749479884703,AC106865.2,0
OK,0,49.5403771838144,0.2403108838400465,THSD4,0
OK,0,49.84367833002037,0.24009510840184295,SCIN,0
OK,0,49.910791514404,0.23970329119259945,IL10RA,0
OK,0,49.39171203375312,0.23965405483878438,DENND3,0
OK,0,49.068201770806525,0.23795806586150173,AC005009.2,0
OK,0,49.04549825074073,0.23782343885945467,AC099782.2,0
OK,0,48.83903320057581,0.23694712225834302,ADGRL3,0
OK,0,48.81923862728462,0.2368693635172203,GRK3,0
OK,0,48.775168253880935,0.23661449609099205,ABO,0
